"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test retrieves a booking by ID and checks the response status and content.","755","Test getting booking by ID","","Mon Jul 22 18:11:08 MSK 2024","passed","Mon Jul 22 18:11:09 MSK 2024","","GET Booking Suite","",""
"Test to verify response when partially updating a booking with an invalid token.","723","Test Negative Partial Update Booking with Invalid Token","","Mon Jul 22 18:11:11 MSK 2024","passed","Mon Jul 22 18:11:11 MSK 2024","","Partial Update Booking Suite","",""
"Test to create a booking and verify the response.","694","Test Create Booking","","Mon Jul 22 18:11:06 MSK 2024","passed","Mon Jul 22 18:11:07 MSK 2024","","Create Booking Suite","",""
"Test to partially update a booking and verify the response.","606","Test Partial Update Booking","","Mon Jul 22 18:11:10 MSK 2024","passed","Mon Jul 22 18:11:11 MSK 2024","","Partial Update Booking Suite","",""
"Test to verify response when updating a booking with an invalid token.","655","Test Negative Update Booking","","Mon Jul 22 18:11:09 MSK 2024","passed","Mon Jul 22 18:11:10 MSK 2024","","Update Booking Suite","",""
"This test retrieves all bookings and checks the response status and content.","765","Test getting all bookings","","Mon Jul 22 18:11:07 MSK 2024","passed","Mon Jul 22 18:11:08 MSK 2024","","GET Booking Suite","",""
"This test checks if the health endpoint is reachable and returns the expected status code.","660","Health Check Test","","Mon Jul 22 18:11:05 MSK 2024","passed","Mon Jul 22 18:11:06 MSK 2024","","Ping Tests","",""
"Test to verify response when partially updating a booking without a token.","753","Test Negative Partial Update Booking without Token","","Mon Jul 22 18:11:11 MSK 2024","passed","Mon Jul 22 18:11:12 MSK 2024","","Partial Update Booking Suite","",""
"Test to create authentication token for booking API.","719","Test Booking Token Creation","","Mon Jul 22 18:11:06 MSK 2024","passed","Mon Jul 22 18:11:06 MSK 2024","","Create Token Booking Suite","",""
"Test to update a booking and verify the response.","655","Test Update Booking","","Mon Jul 22 18:11:09 MSK 2024","passed","Mon Jul 22 18:11:09 MSK 2024","","Update Booking Suite","",""
"Test to delete a booking by ID and verify the response.","673","Test Delete Booking by ID","","Mon Jul 22 18:11:12 MSK 2024","passed","Mon Jul 22 18:11:13 MSK 2024","","Delete Booking Suite","",""
